0.033333,531,161
0.066666,531,161
0.1,529,161
0.133333,529,162
0.166666,527,163
0.2,524,165
0.233333,517,167
0.266666,507,169
0.3,502,179
0.333333,494,183
0.366666,489,194
0.4,482,199
0.433333,482,199
0.466666,482,199
0.5,482,198
0.533333,481,198
0.566666,481,198
0.6,481,198
0.633333,481,198
0.666666,481,198
0.7,481,198
0.733333,476,186
0.766666,476,186
0.8,185,121
0.833333,136,183
0.866666,136,183
0.9,201,288
0.933333,269,306
0.966666,387,254
1.0,387,254
1.033333,405,181
1.066666,391,119
1.1,321,87
1.133333,266,96
1.166666,243,140
1.2,250,212
1.233333,295,265
1.266666,371,303
1.3,457,278
1.333333,475,233
1.366666,437,159
1.4,437,159
1.433333,330,179
1.466666,330,179
1.5,338,253
1.533333,362,297
1.566666,391,303
1.6,413,295
1.633333,413,295
1.666666,368,299
1.7,368,299
1.733333,368,299
1.766666,368,299
1.8,368,299
1.833333,368,299
1.866666,368,299
1.9,368,299
1.933333,368,299
1.966666,368,299
2.0,368,299
2.033333,368,299
2.066666,368,299
2.1,368,299
2.133333,368,299
2.166666,368,299
2.2,368,299
2.233333,368,299
2.266666,368,299
2.3,368,299
2.333333,183,256
2.366666,183,256
2.4,183,256
2.433333,183,256
2.466666,183,256
2.5,335,250
2.533333,337,248
2.566666,338,248
2.6,340,248
2.633333,344,247
2.666666,368,247
2.7,410,247
2.733333,481,246
2.766666,481,246
2.8,516,232
2.833333,542,218
2.866666,561,212
2.9,570,208
2.933333,575,204
2.966666,577,202
3.0,578,198
3.033333,582,178
3.066666,586,148
3.1,588,140
3.133333,588,136
3.166666,588,133
3.2,588,131
3.233333,579,132
3.266666,524,156
3.3,493,182
3.333333,469,194
3.366666,461,196
3.4,452,195
3.433333,417,168
3.466666,400,147
3.5,398,144
3.533333,396,140
3.566666,394,129
3.6,399,105
3.633333,426,90
3.666666,477,71
3.7,517,55
3.733333,528,51
3.766666,540,43
3.8,550,40
3.833333,555,39
3.866666,563,35
3.9,566,33
3.933333,567,31
3.966666,567,31
4.0,554,33
4.033333,545,38
4.066666,542,40
4.1,540,42
4.133333,537,44
4.166666,535,46
4.2,528,49
4.233333,521,49
4.266666,517,49
4.3,512,47
4.333333,508,43
4.366666,502,36
4.4,489,17
