0.033333,531,162
0.066666,531,162
0.1,529,161
0.133333,528,161
0.166666,526,162
0.2,523,165
0.233333,518,168
0.266666,509,174
0.3,503,179
0.333333,496,187
0.366666,488,193
0.4,481,199
0.433333,481,199
0.466666,481,199
0.5,481,199
0.533333,481,199
0.566666,481,199
0.6,481,199
0.633333,481,199
0.666666,481,199
0.7,481,199
0.733333,476,186
0.766666,476,186
0.8,185,121
0.833333,136,184
0.866666,136,184
0.9,201,288
0.933333,269,306
0.966666,387,254
1.0,387,254
1.033333,405,181
1.066666,391,119
1.1,321,87
1.133333,266,95
1.166666,243,141
1.2,250,211
1.233333,295,264
1.266666,371,303
1.3,457,278
1.333333,475,234
1.366666,437,159
1.4,437,159
1.433333,330,179
1.466666,330,179
1.5,338,253
1.533333,362,297
1.566666,391,303
1.6,413,295
1.633333,413,295
1.666666,368,299
1.7,368,299
1.733333,368,299
1.766666,368,299
1.8,368,299
1.833333,368,299
1.866666,368,299
1.9,368,299
1.933333,368,299
1.966666,368,299
2.0,368,299
2.033333,368,299
2.066666,368,299
2.1,368,299
2.133333,368,299
2.166666,368,299
2.2,368,299
2.233333,368,299
2.266666,368,299
2.3,368,299
2.333333,183,257
2.366666,183,257
2.4,183,257
2.433333,183,257
2.466666,183,257
2.5,335,250
2.533333,337,248
2.566666,338,248
2.6,340,248
2.633333,344,248
2.666666,368,246
2.7,410,247
2.733333,481,246
2.766666,481,246
2.8,516,232
2.833333,542,218
2.866666,561,212
2.9,570,209
2.933333,575,205
2.966666,577,203
3.0,578,199
3.033333,582,177
3.066666,586,148
3.1,588,140
3.133333,588,136
3.166666,588,133
3.2,588,131
3.233333,579,133
3.266666,524,156
3.3,493,182
3.333333,469,194
3.366666,461,196
3.4,452,195
3.433333,417,169
3.466666,400,147
3.5,398,144
3.533333,396,141
3.566666,394,130
3.6,399,105
3.633333,426,90
3.666666,477,71
3.7,517,55
3.733333,528,52
3.766666,540,43
3.8,550,40
3.833333,555,40
3.866666,563,36
3.9,566,34
3.933333,567,31
3.966666,567,31
4.0,554,33
4.033333,545,39
4.066666,542,40
4.1,540,42
4.133333,537,44
4.166666,535,47
4.2,528,49
4.233333,521,49
4.266666,517,49
4.3,512,48
4.333333,508,44
4.366666,502,36
4.4,488,18
4.433333,764,206
4.466666,764,206
4.5,764,206
4.533333,764,206
4.566666,764,206
4.6,764,206
4.633333,764,206
4.666666,764,206
4.7,764,206
4.733333,764,206
4.766666,764,206
4.8,764,206
4.833333,764,206
4.866666,764,206
4.9,764,206
4.933333,764,206
4.966666,764,206
5.0,764,206
5.033333,764,206
5.066666,764,206
5.1,764,206
5.133333,764,206
5.166666,764,206
5.2,764,206
